NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
15:20:42,8/6/15,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20150806-16000-20lps-eq\16000-eq,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,21.2,,,,,,,,
Water Height,290,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,Moved,This file is to computed the 20lps-16kg run fluctuations because the sonars moved and the distance is not recorded.,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,768,0,264,0,,,,,
Transducer 2,668,0,286,0,,,,,
Transducer 3,868,0,243,0,,yes,,,
Transducer 4,568,0,293,0,,,,,
Transducer 5,468,0,314,0,,yes,,,
Transducer 6,368,0,337,0,,yes,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
382, 0:33:40,2019.8,2031.8,204.2,228.2,188,241.9,263.1,289.1
383, 0:33:45,2024.8,2036.8,202.5,228.2,187.3,238.8,263.3,290.9
384, 0:33:50,2029.7,2041.8,206.3,227.9,190.5,239.5,263.2,291.2
385, 0:33:55,2034.7,2046.7,203.5,230.3,189.1,239.3,264,290.5
386, 0:34:00,2040.1,2052.2,204,230.7,188.4,240.9,264.5,290.3
387, 0:34:05,2045.2,2057.2,203.1,228.9,186.9,239.2,263.2,288.7
388, 0:34:10,2049.8,2061.8,205.4,229.5,188.5,240.3,263.7,290.8
389, 0:34:15,2054.7,2066.8,203.7,231,185.9,240.5,262.1,289.9
390, 0:34:20,2059.8,2071.8,204.9,228,186.5,239.4,263.2,290.3
391, 0:34:25,2064.7,2076.7,203.7,228.5,189.2,238.8,262.8,289.7
392, 0:34:30,2069.7,2081.8,206.9,228.1,186.8,241.6,263.9,291.2
393, 0:34:35,2074.6,2086.7,205.2,230.5,187.3,239.8,262.6,291.5
394, 0:34:40,2079.7,2091.7,200.5,229,186.2,238.5,265.6,290.8
395, 0:34:45,2084.6,2096.6,202.8,226,187.9,237.8,261.1,289
396, 0:34:50,2089.6,2101.6,206,225.9,185.6,238.7,265.8,291.7
397, 0:34:55,2094.6,2106.6,205.3,230.6,188,238.3,266.7,288
398, 0:35:00,2099.6,2111.6,203.5,229.7,184.6,238.1,262.7,291.7
399, 0:35:05,2104.5,2116.5,204.7,230.2,186.5,241.1,261.6,289.3
400, 0:35:10,2110,2122,207.5,227.5,186.1,237.6,261.1,290
401, 0:35:15,2115,2127.1,207.3,227.7,184.2,238.4,266.5,291.6
402, 0:35:20,2120,2132.1,205.3,230.9,185,240.5,263.9,292.6
403, 0:35:25,2125,2137,204.1,228.3,187.2,238.3,262.1,288.8
404, 0:35:30,2129.9,2142,204.9,228.5,191.9,239.6,263.3,289.6
405, 0:35:35,2135,2147,204.1,228.3,191.7,241.7,262.9,288.2
406, 0:35:40,2140.4,2152.4,204.6,230.4,185.9,235.8,263.6,290
407, 0:35:45,2145,2157,201.7,230.1,186.1,236.9,264.1,291.2
408, 0:35:50,2150,2162,202.5,227.4,188.8,237.1,265,289.9
409, 0:35:55,2154.9,2166.9,203.7,229.7,187,237.3,262.7,290.5
410, 0:36:00,2159.9,2171.9,206.8,229.7,185.6,245.6,262.3,294.3
411, 0:36:05,2165.4,2177.4,203.4,227.3,188.1,239.8,260.2,290.6
412, 0:36:10,2170,2182,205.2,225.7,185.8,240.2,260.6,289.1
413, 0:36:15,2174.7,2186.7,204.9,229.4,184.7,241.1,262.9,291.4
414, 0:36:20,2179.7,2191.7,204.9,229.8,183.8,238.4,262.1,289.6
415, 0:36:25,2184.6,2196.6,207.9,233.2,187.4,238.8,262.5,294.6
416, 0:36:30,2189.7,2201.7,204.1,227.8,186.3,237.1,261.9,290.3
417, 0:36:35,2194.6,2206.6,203,230.6,185.9,239,263.4,291.7
418, 0:36:40,2199.6,2211.6,204.4,230.3,186.2,239,262.8,292.2
419, 0:36:45,2204.6,2216.6,205.2,229.3,186.7,239.3,262.4,289.3
420, 0:36:50,2209.6,2221.6,204.3,232.2,186.7,241.4,262.5,290.3
421, 0:36:55,2215.1,2227.1,205.5,230,184.3,241,264.1,292.6
422, 0:37:00,2220.5,2232.5,204.5,232.4,183.9,239.8,262,289.2
423, 0:37:05,2224.5,2236.6,204.6,230.1,186,238.3,262.7,289.8
424, 0:37:10,2229.6,2241.6,204.9,229.7,186.8,241.6,262.2,293.6
425, 0:37:15,2234.6,2246.6,203.4,230.4,185.9,239.6,262.3,290.5
426, 0:37:20,2239.6,2251.6,206.6,228.5,187.8,238.5,262.9,290.2
427, 0:37:25,2244.6,2256.6,202.8,231.5,188.8,239.7,262.5,290.3
